,drainage_class,gus,tgus,detlimit,offset,detected
301,2,6.88,20.7,0.1,1.0,-1.0
302,2,6.88,23.1,0.05,1.0,1.0
303,2,6.88,25.9,0.1,1.0,-1.0
304,2,6.88,25.9,0.1,1.0,-1.0
305,2,6.88,28.4,0.05,1.0,1.0
306,2,6.88,28.4,0.05,1.0,1.0
307,5,6.88,23.9,0.05,1.0,1.0
308,5,6.88,23.9,0.05,1.0,1.0
309,5,6.88,18.5,0.1,1.0,1.0
310,5,6.88,20.9,0.05,1.0,1.0
311,5,6.88,20.0,0.1,1.0,1.0
312,5,6.88,22.5,0.05,1.0,1.0
313,5,6.88,22.5,0.05,1.0,1.0
314,5,6.88,18.5,0.1,1.0,1.0
315,5,6.88,20.9,0.05,1.0,1.0
316,5,6.88,20.9,0.05,1.0,1.0
317,4,6.88,24.8,0.05,1.0,1.0
318,1,6.88,28.8,0.05,1.0,1.0
319,1,6.88,28.8,0.05,1.0,1.0
320,1,1.97,5.3,0.025,1.0,-1.0
321,1,1.97,5.3,0.025,1.0,-1.0
322,1,1.97,-2.3,0.1,1.0,-1.0
323,1,1.97,-2.3,0.1,1.0,-1.0
324,1,1.97,4.1,0.025,1.0,-1.0
325,1,1.97,4.1,0.025,1.0,-1.0
326,1,1.97,-3.5,0.1,1.0,-1.0
327,1,1.97,-3.5,0.1,1.0,-1.0
328,2,1.97,-3.8,0.025,1.0,-1.0
329,2,1.97,-3.8,0.025,1.0,-1.0
330,2,1.97,-11.4,0.1,1.0,-1.0
331,2,1.97,4.3,0.025,1.0,-1.0
332,2,1.97,4.3,0.025,1.0,-1.0
333,2,1.97,-3.2,0.1,1.0,-1.0
334,2,1.97,-3.2,0.1,1.0,-1.0
335,3,1.97,2.1,0.025,1.0,1.0
336,1,2.47,5.5,0.025,1.0,-1.0
337,1,2.47,5.5,0.025,1.0,-1.0
338,1,2.47,5.5,0.025,1.0,-1.0
339,1,2.47,5.5,0.025,1.0,-1.0
340,1,2.47,5.5,0.025,1.0,-1.0
341,1,2.47,5.5,0.025,1.0,-1.0
342,1,2.47,5.5,0.025,1.0,-1.0
343,1,2.47,5.5,0.025,1.0,-1.0
344,2,2.47,5.3,0.025,1.0,-1.0
345,2,2.47,5.3,0.025,1.0,-1.0
346,2,2.47,5.3,0.025,1.0,-1.0
347,2,2.47,5.3,0.025,1.0,-1.0
348,2,2.47,5.3,0.025,1.0,-1.0
