,tgus,Sand %,Silt %,Clay %,offset,detected
303,5.3,68.5,21.5,10.0,1.0,-1.0
304,5.3,68.5,21.5,10.0,1.0,-1.0
305,5.3,68.5,21.5,10.0,1.0,1.0
306,5.3,68.5,21.5,10.0,1.0,-1.0
307,5.3,68.5,21.5,10.0,1.0,-1.0
308,5.3,68.5,21.5,10.0,1.0,-1.0
309,2.3,67.7,22.3,10.0,1.0,1.0
310,2.3,67.7,22.3,10.0,1.0,-1.0
311,2.3,67.7,22.3,10.0,1.0,-1.0
312,2.3,67.7,22.3,10.0,1.0,-1.0
313,2.3,67.7,22.3,10.0,1.0,-1.0
314,2.3,67.7,22.3,10.0,1.0,-1.0
315,2.3,67.7,22.3,10.0,1.0,-1.0
316,2.3,67.7,22.3,10.0,1.0,-1.0
317,4.2,20.7,67.3,12.0,1.0,1.0
318,4.4,38.8,49.2,12.0,1.0,1.0
319,4.4,38.8,49.2,12.0,1.0,-1.0
320,4.4,38.8,49.2,12.0,1.0,-1.0
321,4.4,38.8,49.2,12.0,1.0,-1.0
322,4.4,38.8,49.2,12.0,1.0,1.0
323,4.4,38.8,49.2,12.0,1.0,-1.0
324,4.4,38.8,49.2,12.0,1.0,1.0
325,4.4,38.8,49.2,12.0,1.0,1.0
326,32.7,11.2,66.8,22.0,1.0,-1.0
327,32.7,11.2,66.8,22.0,1.0,-1.0
328,32.7,11.2,66.8,22.0,1.0,-1.0
329,32.7,11.2,66.8,22.0,1.0,-1.0
330,32.7,11.2,66.8,13.4,1.0,-1.0
331,32.7,11.2,66.8,13.4,1.0,-1.0
332,32.7,11.2,66.8,13.4,1.0,-1.0
333,32.7,11.2,66.8,13.4,1.0,-1.0
334,39.3,56.3,30.3,13.4,1.0,-1.0
335,39.3,56.3,30.3,13.4,1.0,-1.0
336,39.3,56.3,30.3,13.4,1.0,-1.0
337,39.3,56.3,30.3,13.4,1.0,-1.0
338,2.5,43.3,39.7,17.0,1.0,1.0
339,1.2,67.7,22.3,10.0,1.0,-1.0
340,1.2,67.7,22.3,10.0,1.0,-1.0
341,1.2,67.7,22.3,10.0,1.0,-1.0
342,1.2,67.7,22.3,10.0,1.0,-1.0
343,1.2,67.7,22.3,10.0,1.0,-1.0
344,1.2,67.7,22.3,10.0,1.0,-1.0
345,1.2,67.7,22.3,10.0,1.0,-1.0
346,1.2,67.7,22.3,10.0,1.0,-1.0
